Year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,United States
1960,229,3274,1789,1321,15870,1769,2544,765,449,5004,3956,642,2756,671,10086,4674,2183,3041,3260,5160,3113,975,7834,3425,4326,2182,679,4573,634,1417,609,6103,954,291,16838,9734,2336,1772,11329,855,2392,683,3575,9624,900,3986,389,2855,3962,1853,331,180671
1961,238,3316,1806,1407,16497,1844,2586,778,461,5243,4015,659,2756,684,10130,4730,2215,3054,3287,5219,3176,995,7893,3470,4349,2206,696,4663,641,1446,618,6265,965,315,17061,9854,2380,1787,11392,858,2409,693,3622,9820,936,4095,390,2882,4009,1828,337,183691
1962,246,3323,1853,1471,17072,1899,2647,788,469,5458,4086,684,2750,692,10280,4736,2231,3079,3345,5263,3263,994,7933,3513,4357,2243,698,4707,637,1464,632,6376,979,352,17301,9929,2427,1818,11355,871,2423,705,3673,10053,958,4180,393,2942,4049,1809,333,186538
1963,256,3358,1875,1521,17668,1936,2727,798,483,5628,4172,682,2747,683,10402,4799,2217,3096,3377,5344,3386,993,8058,3531,4392,2244,703,4742,644,1476,649,6531,989,397,17461,9986,2439,1853,11424,876,2460,708,3718,10159,974,4276,397,2955,4112,1796,336,189242
1964,263,3395,1897,1556,18151,1970,2798,798,497,5781,4258,700,2746,680,10580,4856,2209,3129,3446,5448,3492,993,8187,3558,4442,2241,706,4802,649,1482,663,6660,1006,426,17589,10080,2446,1888,11519,885,2475,701,3771,10270,978,4357,399,2961,4165,1797,339,191889
1965,271,3443,1894,1584,18585,1985,2857,797,507,5954,4332,704,2742,686,10693,4922,2206,3140,3496,5502,3600,997,8357,3592,4467,2246,706,4863,649,1471,676,6767,1012,444,17734,10201,2440,1937,11620,893,2494,692,3798,10378,991,4411,404,2967,4232,1786,332,194303
1966,271,3464,1899,1614,18858,2007,2903,791,516,6104,4379,710,2762,689,10836,4999,2200,3147,3550,5535,3695,999,8512,3617,4523,2245,707,4896,647,1456,681,6851,1007,446,17843,10330,2454,1969,11664,899,2520,683,3822,10492,1009,4456,413,3057,4274,1775,323,196560
1967,278,3458,1901,1646,19176,2053,2935,791,525,6242,4408,723,2793,688,10947,5053,2197,3172,3581,5594,3757,1004,8630,3659,4539,2228,701,4952,626,1457,697,6928,1000,449,17935,10414,2489,1979,11681,909,2533,671,3859,10599,1019,4508,423,3174,4303,1769,322,198712
1968,285,3446,1902,1682,19394,2120,2964,778,534,6433,4482,734,2803,695,10995,5093,2216,3195,3603,5618,3815,994,8696,3703,4568,2219,700,5004,621,1467,709,7005,994,464,18051,10516,2503,2004,11741,922,2559,669,3878,10819,1029,4558,430,3270,4345,1763,324,200706
1969,296,3440,1913,1737,19711,2166,3000,762,540,6641,4551,750,2805,707,11039,5143,2236,3198,3619,5650,3868,992,8781,3758,4640,2220,694,5031,621,1474,724,7095,1011,480,18105,10563,2535,2062,11741,932,2570,668,3897,11045,1047,4614,437,3343,4378,1746,329,202677
1970,304,3451,1932,1792,20007,2223,3041,756,551,6848,4607,774,2832,718,11128,5202,2249,3231,3652,5706,3938,997,8890,3815,4688,2220,698,5098,620,1488,742,7193,1023,493,18268,10664,2567,2101,11813,951,2597,668,3937,11236,1066,4659,446,3413,4429,1751,334,205052
1971,316,3497,1972,1896,20346,2304,3061,750,565,7158,4712,802,2852,739,11202,5253,2247,3298,3710,5738,4018,1015,8974,3853,4726,2265,711,5204,627,1505,762,7281,1054,520,18358,10735,2619,2151,11886,963,2662,671,4014,11510,1101,4751,454,3448,4462,1771,340,207661
1972,324,3539,2019,2008,20585,2405,3069,742,573,7511,4809,828,2860,763,11252,5302,2256,3336,3762,5760,4073,1034,9029,3870,4759,2307,719,5301,631,1519,781,7335,1079,547,18339,10747,2659,2197,11908,975,2719,677,4095,11759,1135,4824,463,3448,4502,1798,347,209896
1973,331,3580,2059,2124,20869,2496,3068,731,578,7914,4910,852,2864,782,11251,5338,2266,3371,3788,5781,4098,1046,9078,3889,4783,2350,727,5390,633,1530,801,7333,1106,569,18177,10767,2696,2242,11891,976,2777,679,4147,12020,1170,4901,468,3479,4524,1806,354,211909
1974,341,3626,2101,2223,21174,2541,3074,718,581,8299,4999,868,2868,808,11262,5362,2269,3416,3820,5774,4119,1059,9118,3904,4796,2378,736,5471,635,1539,816,7332,1131,597,18050,10766,2735,2285,11871,951,2845,680,4214,12269,1200,4971,473,3550,4546,1815,366,213854
1975,376,3679,2160,2285,21538,2586,3083,707,587,8518,5064,886,2881,832,11292,5366,2281,3468,3886,5758,4139,1072,9118,3933,4808,2399,748,5547,639,1543,829,7338,1160,620,18003,10770,2775,2330,11906,943,2902,681,4276,12569,1236,5047,480,3621,4579,1842,382,215973
1976,401,3735,2170,2346,21936,2632,3083,692,590,8667,5133,904,2903,857,11343,5389,2301,3529,3951,5744,4151,1088,9129,3965,4839,2430,757,5608,646,1551,845,7340,1189,647,17941,10753,2827,2378,11897,946,2944,686,4347,12904,1275,5122,485,3694,4596,1880,397,218035
1977,403,3780,2209,2425,22352,2696,3086,677,592,8856,5220,918,2914,883,11386,5426,2321,3574,4014,5738,4170,1104,9171,3989,4863,2459,770,5686,650,1557,870,7337,1216,678,17813,10771,2870,2447,11894,950,2992,688,4423,13193,1320,5193,492,3776,4627,1908,413,220239
